,Page_title,Page_link,Page_name,Page_address,Page_address_formatted,latitude,longitude
1,1ST DETROIT SERVICE,https://www.shtetlhood.com/1st_Jewish_Service.htm,1st Jewish Services in Detroit, St. Antoine at Congress,,42.33301994,-83.03926179
2,1ST HEBREW DELRAY,https://www.shtetlhood.com/Delray_Hungarian.htm,First Hebrew Congregation of Delray,8124 Burdeno,"8124 Burdeno, Detroit, MI",42.29249747,-83.11541184
3, AARON ISRAEL [STOLINER],https://www.shtetlhood.com/Aaron_Israel.htm,Aaron Israel,2567 Elmhurst,"2567 Elmhurst, Detroit, MI",42.38474337,-83.11547837
4, ADAS YESHURN [TYLER] ,https://www.shtetlhood.com/Adas_Yeshuan.htm,Memories of Adas Yeshuan,2625 Tyler,"2625 Tyler, Detroit, MI",42.39136602,-83.1214533
5, ADAT SHALOM,https://www.shtetlhood.com/Adat_Shalom_star.htm,Adat Shalom,Curtis just west of Livernois,"Curtis just west of Livernois, Detroit, MI",42.42426007,-83.14316196
6, AHAVATH ZION,https://www.shtetlhood.com/Ahavath_Zion.htm,Ahavath Zion,Holbrook at Brush,"Holbrook at Brush, Detroit, MI",42.38302716,-83.07502803
7, AMARATH TEMPLE,https://www.shtetlhood.com/Amarath_Temple.htm,Amarath Temple,McDougall at Gratiot,"McDougall at Gratiot, Detroit, MI",42.35713927,-83.02899902
8, AVAS ACHIM [DELMAR],https://www.shtetlhood.com/Avas_Achim_1.htm,Avas Achim,9244 Delmar,"9244 Delmar, Detroit, MI",42.38793125,-83.07066366
9,AVAS ACHIM 2,https://www.shtetlhood.com/Avas_Achim_star.htm,Avas Achim,Schaefer at 7 Mile Road,"Schaefer at 7 Mile Road, Detroit, MI",42.42983693,-83.27084887
10, BETH AARON ,https://www.shtetlhood.com/Beth_Aaron-bush.htm,Beth Aaron,18000 Wyoming,"18000 Wyoming, Detroit, MI",42.42251089,-83.16062262
11, BETH AARON V ISRAEL,https://www.shtetlhood.com/Beth_Aaron_Oakland.htm,Beth Aaron V Israel Congregation,9550 Oakland,"9550 Oakland, Detroit, MI",42.38912395,-83.07477424
12, BETH ABRAHAM,https://www.shtetlhood.com/Beth_Abraham.htm,Beth Abraham,12517 Linwood,"12517 Linwood, Detroit, MI",42.38833088,-83.11887851
13,BETH ABRAHAM 2,https://www.shtetlhood.com/Beth_Abraham2.htm,Beth Abraham,8100 West 7 Mile Road,"8100 West 7 Mile Road, Detroit, MI",42.43141555,-83.15195168
14, B'NAI DAVID,https://www.shtetlhood.com/Beth_David.htm,B'nai David,2201 Elmhurst at 14th,"2201 Elmhurst at 14th, Detroit, MI",42.38649961,-83.11077443
15, BETH EL [BONSTELLE],https://www.shtetlhood.com/beth_el_1.htm,Temple Beth El,"Woodward at Eliot
","Woodward at Eliot
, Detroit, MI",42.34647451,-83.05726686
16, BETH EL,https://www.shtetlhood.com/Beth_El_detl.htm,Temple Beth El,8801 Woodward,"8801 Woodward, Detroit, MI",42.38042324,-83.08013831
17, BETH EMMANUEL [TAYLOR],https://www.shtetlhood.com/beth_emmanuel_det.htm,Beth Emmanuel,1550 Taylor at Woodrow Wilson,"1550 Taylor at Woodrow Wilson, Detroit, MI",42.3769566,-83.09520845
18, BETH ITZCHOCK,https://www.shtetlhood.com/Beth_Itzchock.htm,Beth Itzchock,3836 Fischer,"3836 Fischer, Detroit, MI",42.37068523,-83.00000504
19, BETH MOSES,https://www.shtetlhood.com/Beth_Moses.htm,Beth Moses,13925 Linwood at Oakman Ct.,"13925 Linwood at Oakman Ct., Detroit, MI",42.3961686,-83.12415149
20,BETH MOSES 2,https://www.shtetlhood.com/BethMoses2.htm,Beth Moses,Evergreen just north of 7 Mile,"Evergreen just north of 7 Mile, Detroit, MI",42.36606867,-83.12906582
